"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value","Flag and Footnotes"
"2003","Belgium","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over","13 482",""
"2003","Belgium","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Belgium","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","10 505",""
"2003","Belgium","Euro","Median equivalised net income","Foreign country","Total","18 years or over","12 420",""
"2003","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15 713",""
"2003","Bulgaria","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Czechia","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Czechia","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Denmark","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Denmark","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over","22 682",""
"2003","Denmark","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Denmark","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","17 931",""
"2003","Denmark","Euro","Mean equivalised net income","Foreign country","Total","18 years or over","19 633",""
"2003","Denmark","Euro","Mean equivalised net income","Reporting country","Total","18 years or over","23 041",""
